"C"
1600617
1606310
1599524
1597599
1595000
1603999
1600194
1606470
1599999
1598298
1599399
1590000
1580400
1585700
1575337
1586000
1575208
1581945
1560001
1557505
1561528
1577287
1591000
1585000
1582779
1576800
1571000
1594840
1583900
1576000
1572000
1585931
1570352
1568817
1563642
1577926
1592377
1590000
1595840
1598800
1602000
1602400
1623047
1616000
1626500
1630984
1630806
1623401
1617005
1620501
1614000
1620000
1621500
1618000
1613500
1617500
1620938
1614625
1609000
1608800
1615950
1617500
1620998
1608000
1602323
1601099
1603000
1590000
1587100
1593000
1595034
1591882
1593000
1593400
1596800
1597500
1597980
1597980
1595679
1597980
1600000
1611400
1611989
1610000
1613022
1607950
1609500
1594000
1600000
1609500
1604999
1603600
1605000
1602200
1610000
1610000
1614284
1614000
1617500
1607010
1605003
1615996
1613998
1607032
1612996
1613000
1605000
1603000
1613933
1599870
1602910
1606216
1601309
1604000
1604001
1613900
1605000
1606081
1602004
1599000
1597470
1600000
1606100
1598972
1601470
1613939
1606000
1595000
1563600
1577000
1567505
1555990
1560000
1556700
1551075
1576749
1579000
1573500
1584703
1580300
1570205
1578967
1570938
1570000
1567000
1565731
1561096
1567757
1565665
1568943
1579000
1578684
1566999
1575499
1579999
1584000
1584413
1630000
1618001
1634399
1636000
1625661
1611039
1616999
1619489
1620000
1607446
1602900
1609881
1606499
1605498
1606499
1609314
1610000
1606500
1614000
1607500
1604300
1608100
1612000
1615790
1616400
1615120
1611000
1608000
1590250
1590000
1583959
1595000
1600000
1588744
1592000
1587500
1586369
1587001
1591383
1584510
1588498
1591500
1585501
1583000
1590000
1585543
1577200
1590000
1578000
1579007
1591499
1584999
1582508
1578514
1575229
1587846
1582500
1582000
1579000
1580046
1581987
1573501
1582407
1580361
1578024
1576700
1570009
1575000
1576529
1569899
1585000
1583200
1580039
1583014
1590957
1590992
1591000
1589100
1593799
1596442
1590400
1601996
1590004
1597679
1590501
1597952
1599476
1592001
1601396
1591008
1599500
1592062
1585000
1604300
1610003
1615746
1609015
1604999
1598000
1602476
1599068
1606489
1599070
1608000
1607030
1618318
1617500
1610001
1610010
1620100
1621170
1619981
1607886
1598000
1609470
1611607
1606280
1619698
1647483
1638260
1632147
1644400
1650231
1650000
1640500
1646555
1639510
1637470
1620000
1618045
1618841
1622161
1617000
1617002
1629327
1639346
1629500
1625665
1618021
1614379
1604000
1617000
1612995
1611813
1600511
1598437
1600100
1599977
1594999
1600000
1588037
1594075
1594142
1594232
1586001
1591000
1588080
1598000
1603500
1607962
1585234
1581800
1575006
1581482
1581482
1581200
1590755
1580500
1590180
1582900
1581500
1586000
1586010
1594974
1594749
1599000
1599997
1590506
1586164
1584532
1597001
1606000
1600000
1601001
1590000
1590000
1585891
1583712
1591181
1595832
1593577
1584007
1589376
1592102
1598880
1590000
1586500
1590001
1576060
1583999
1575000
1581000
1577002
1588997
1577000
1582500
1591100
1587159
1590000
1580000
1587497
1584999
1578930
1581710
1582099
1582360
1578001
1583999
1584993
1583599
1574635
1571005
1580525
1569774
1575289
1576000
1569760
1566233
1569400
1575158
1578028
1581000
1565510
1566017
1568000
1573470
1565701
1563399
1562560
1567914
1564004
1565000
1574488
1568840
1579959
1569500
1563002
1571999
1561010
1569000
1572000
1573098
1573107
1570500
1569050
1568100
1569000
1577999
1568821
1568708
1569171
1568551
1576999
1575609
1565500
1571870
1563035
1572053
1565000
1563507
1562132
